,,DEM,REP,LIB,GRN,NON,TOTAL
Senate,Hawaii,43348,15031,,,,58379
Senate,Maui,37753,11381,,,,49134
Senate,Kauai,18510,6120,,,,24630
Senate,Honululu,176705,79503,,,,256208
Senate,Total,276316,112035,0,0,0,388351
Governor,Hawaii,38301,17953,,1847,516,58617
Governor,Maui,32142,14702,,1857,612,49313
Governor,Kaui,15868,8135,,630,200,24833
Governor,Honululu,158623,90929,,5789,2739,258080
Governor,Total,244934,131719,0,10123,4067,390843
HI-01,Honululu,134650,42498,3498,2214,1351,184211
HI-01,Total,134650,42498,3498,2214,1351,184211
HI-02,Hawaii,45237,12138,,,,57375
HI-02,Maui,39906,8716,,,,48622
HI-02,Kaui,19694,4580,,,,24274
HI-02,Honululu,48434,19416,,,,67850
HI-02,Total,153271,44850,0,0,0,198121